url,nombre1
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Félix_Bugueño_Sotelo,Bugueño Sotelo Félix Elliot
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Mercedes_Bulnes_Núñez,Bulnes Núñez María Mercedes
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Burgos_Varela,Burgos Varela Jorge
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Bustos_Huerta,Bustos Huerta Manuel Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_José_Bustos_Ramírez,Bustos Ramírez Juan José
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Bórquez_Montecinos,Bórquez Montecinos Fernando Héctor
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rolando_Calderón_Aránguiz,Calderón Aránguiz Rolando
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Giovanni_Oscar_Calderón_Bassi,Calderón Bassi Giovanni Oscar
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ángel_Calisto_Águila,Calisto Águila Miguel Ángel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Camaño_Cárdenas,Camaño Cárdenas Luis Felipe Ignacio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Caminondo_Sáez,Caminondo Sáez Carlos
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fabiola_Campillai_Rojas,Campillai Rojas Fabiola Andrea
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cristian_Campos_Jara,Campos Jara Carlos Cristian
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Campos_Quiroga,Campos Quiroga Jaime
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Canessa_Robert,Canessa Robert Julio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda,Cantero Ojeda Carlos
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Cantuarias_Larrondo,Cantuarias Larrondo Eugenio Gustavo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eliana_Caraball_Martínez,Caraball Martínez Eliana
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Eugenio_Cardemil_Herrera,Cardemil Herrera Alberto Eugenio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marco_Antonio_Cariola_Barroilhet,Cariola Barroilhet Marco Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Karol_Aída_Cariola_Oliva,Cariola Oliva Karol Aída
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lautaro_Carmona_Soto,Carmona Soto Lautaro César
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Jorge_Carter_Fernández,Carter Fernández Álvaro Jorge
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Loreto_Carvajal_Ambiado,Carvajal Ambiado María Loreto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Natalia_Valentina_Castillo_Muñoz,Castillo Muñoz Natalia Valentina
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nathalie_Castillo_Rojas,Castillo Rojas Irene Nathalie
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Castro_Bascuñán,Castro Bascuñán José Miguel
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Luis_Castro_González,Castro González Juan Luis
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Enrique_Castro_Prieto,Castro Prieto Juan Enrique
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Patricio_Celis_Araya,Celis Araya Ricardo Patricio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Celis_Montt,Celis Montt Andrés
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Ceroni_Fuentes,Ceroni Fuentes Guillermo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Pío_Bernardino_Chadwick_Piñera,Chadwick Piñera Andrés Pío Bernardino
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fuad_Eduardo_Chahin_Valenzuela,Chahin Valenzuela Fuad Eduardo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Chahuán_Chahuán,Chahuán Chahuán Francisco
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcelo_Omar_Chávez_Velásquez,Chávez Velásquez Marcelo Omar
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniella_Valentina_Cicardini_Milla,Cicardini Milla Daniella Valentina
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sofía_Slovena_Cid_Versalovic,Cid Versalovic Sofía Slovena
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Cifuentes_Lillo,Cifuentes Lillo Ricardo Óscar
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Álamos,Coloma Álamos Juan Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa,Coloma Correa Juan Antonio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sara_Concha_Smith,Concha Smith Sara Nicol
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Concha_Urbina,Concha Urbina Juan
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Cooper_Valencia,Cooper Valencia Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fernando_Cordero_Rusque,Cordero Rusque Fernando
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Luisa_Cordero_Velásquez,Cordero Velásquez María Luisa
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González,Cornejo González Aldo
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Cornejo_Lagos,Cornejo Lagos Eduardo Alejandro
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Cornejo_Vidaurrázaga,Cornejo Vidaurrázaga Patricio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Correa_de_la_Cerda,Correa de la Cerda Sergio
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ernesto_Crispi_Serrano,Crispi Serrano Miguel Ernesto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Angélica_Cristi_Marfil,Cristi Marfil María Angélica
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luciano_Cruz_Coke_Carvallo,Cruz Coke Carvallo Luciano
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Cubillos_Sigall,Cubillos Sigall Marcela
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Cuello_Peña_y_Lillo,Cuello Peña y Lillo Luis Alberto
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Nora_Cuevas_Contreras,Cuevas Contreras María Nora
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_De_La_Carrera_Correa,De La Carrera Correa Gonzalo Armando
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_De_Mussy_Hiriart,De Mussy Hiriart Felipe
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_De_Rementería_Venegas,De Rementería Venegas Tomás Eguzki
https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alfonso_Arturo_De_Urresti_Longton,De Urresti Longton Alfonso Arturo
