link,base_link,id_votacion,tema,region
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=23049,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,23049,COMPETENCIAS GOBIERNOS REGIONALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=42171,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,42171,CONCESIONES MINERAS,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=43471,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,43471,ZONAS RURALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40977,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40977,FINANCIAMIENTO REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40943,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40943,FINANCIAMIENTO REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40884,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40884,FINANCIAMIENTO REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40715,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40715,COMPETENCIAS GOBIERNOS REGIONALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=40196,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,40196,FORESTAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=39305,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,39305,COMPETENCIAS GOBIERNOS REGIONALES,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=38798,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,38798,CONECTIVIDAD REGIONAL,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=38543,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,38543,MACRO ZONA SUR,1
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=37325,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,37325,DESPENALIZACION ABORTO,0
https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=37324,https://www.camara.cl/legislacion/sala_sesiones/votacion_detalle.aspx?prmIdVotacion=,37324,DESPENALIZACION ABORTO,0
