nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos,fecha_eleccion
GUILLERMO ARTURO CERONI FUENTES,PPD,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Ceroni_Fuentes,Guillermo,Ceroni,Fuentes,"Abogado, agricultor",30 de Julio de 1946,Parral,,,1,0,17 de noviembre de 2013
GUSTAVO ADOLFO HASBUN SELUME,UDI,diputados,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Hasbún_Selume,Gustavo,Hasbún,Selume,Licenciado en Comunicación Social,2 de Agosto de 1972,Santiago,,,1,dos,17 de noviembre de 2013
TOMAS HIRSCH GOLDSCHMIDT,INDEPENDIENTE COMUNES,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_René_Hirsch_Goldschmidt,Tomás René,Hirsch,Goldschmidt,,19 de Julio de 1956,Santiago,,,1,dos,21 de noviembre de 2021
CRISTIAN ARAYA LERDO DE TEJADA,REPUBLICANO,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristián_Araya_Lerdo_de_Tejada,Cristián Andrés,Araya,Lerdo de Tejada,Magíster en Psicología de las Organizaciones,30 de Septiembre de 1988,Santiago,,,0,0,21 de noviembre de 2021
GUILLERMO RAMIREZ DIEZ,UDI,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Andrés_Ramírez_Diez,Guillermo Andrés,Ramírez,Diez,Máster en Políticas Públicas,16 de Abril de 1979,Santiago,,,1,4,21 de noviembre de 2021
HECTOR ALEJANDRO BARRIA ANGULO,PDC,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Barría_Angulo,Héctor,Barría,Angulo,Administrador Público,24 de Abril de 1980,Llanquihue,,,1,0,21 de noviembre de 2021
HERNAN PALMA PEREZ,PH,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Héctor_Barría_Angulo,Héctor,Barría,Angulo,Administrador Público,24 de Abril de 1980,Llanquihue,,,1,0,21 de noviembre de 2021
MIGUEL CRISPI SERRANO,RD,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Ernesto_Crispi_Serrano,Miguel Ernesto,Crispi,Serrano,Sociólogo,9 de Abril de 1985,Francia,,,0,0,19 de noviembre de 2017
CAMILA VALLEJO DOWLING,PC,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Camila_Antonia_Amaranta_Vallejo_Dowling,Camila Antonia Amaranta,Vallejo,Dowling,Geógrafa,28 de Abril de 1988,Santiago,,,0,0,19 de noviembre de 2017
LEOPOLDO PEREZ LAHSEN,RN,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leopoldo_Alfredo_Pérez_Lahsen,Leopoldo Alfredo,Pérez,Lahsen,Administrador Público,28 de Marzo de 1957,Santiago,,,1,0,19 de noviembre de 2017
AMARO LABRA SEPULVEDA,PC,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Amaro_Jamil_Jesús_Labra_Sepúlveda,Amaro Jamil Jesús,Labra,Sepúlveda,Músico,25 de Octubre de 1949,Santiago,,,1,0,19 de noviembre de 2017
ALVARO CARTER FERNANDEZ,UDI,diputados,2017,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Jorge_Carter_Fernández,Álvaro Jorge,Carter,Fernández,Diseñador Industrial,9 de Octubre de 1980,Santiago,,,0,0,19 de noviembre de 2017
ALVARO CARTER FERNANDEZ,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,diputados,2021,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Álvaro_Jorge_Carter_Fernández,Álvaro Jorge,Carter,Fernández,Diseñador Industrial,9 de Octubre de 1980,Santiago,,,0,0,21 de noviembre de 2021
