deputyid,distrito,partido,pacto,tendencia,nombre,year,region
999,22,RN,CHILE VAMOS,1,Jorge Rathgeb Schifferli,2023,9
1168,22,DEMOCRATAS,CHILE VAMOS,1,Jorge Saffirio Espinoza,2024,9
1108,22,RN,CHILE VAMOS,1,Juan Carlos Beltrán Silva,2024,9
999,22,RN,CHILE VAMOS,1,Jorge Rathgeb Schifferli,2024,9
1152,22,IND,FRENTE SOCIAL CRISTIANO,1,Gloria Naveillan Arriagada,2024,9
867,23,RN,CHILE VAMOS,1,CRISTIAN MONCKEBERG BRUNER,2014,13
954,23,UDI,CHILE VAMOS,1,ERNESTO SILVA MENDEZ,2014,13
867,23,RN,CHILE VAMOS,1,CRISTIAN MONCKEBERG BRUNER,2015,13
954,23,UDI,CHILE VAMOS,1,ERNESTO SILVA MENDEZ,2015,13
954,23,UDI,CHILE VAMOS,1,ERNESTO SILVA MENDEZ,2016,13
867,23,RN,CHILE VAMOS,1,CRISTIAN MONCKEBERG BRUNER,2016,13
954,23,UDI,CHILE VAMOS,1,ERNESTO SILVA MENDEZ,2017,13
867,23,RN,CHILE VAMOS,1,CRISTIAN MONCKEBERG BRUNER,2017,13
843,23,RN,CHILE VAMOS,1,RENE MANUEL GARCIA GARCIA,2018,9
1020,23,PPD,NUEVA MAYORIA,0,RICARDO CELIS ARAYA,2018,9
950,23,IND,SIN PACTO,0,RENE SAFFIRIO ESPINOZA,2018,9
1050,23,RN,CHILE VAMOS,1,MIGUEL MELLADO SUAZO,2018,9
1052,23,EVOPOLI,CHILE VAMOS,1,ANDRES MOLINA MAGOFKE,2018,9
1010,23,EVOPOLI,CHILE VAMOS,1,SEBASTIAN ALVAREZ RAMIREZ,2018,9
866,23,PRSD,NUEVA MAYORIA,0,FERNANDO MEZA MONCADA,2018,9
1020,23,PPD,NUEVA MAYORIA,0,RICARDO CELIS ARAYA,2019,9
1052,23,EVOPOLI,CHILE VAMOS,1,ANDRES MOLINA MAGOFKE,2019,9
950,23,IND,SIN PACTO,0,RENE SAFFIRIO ESPINOZA,2019,9
1010,23,EVOPOLI,CHILE VAMOS,1,SEBASTIAN ALVAREZ RAMIREZ,2019,9
1050,23,RN,CHILE VAMOS,1,MIGUEL MELLADO SUAZO,2019,9
843,23,RN,CHILE VAMOS,1,RENE MANUEL GARCIA GARCIA,2019,9
866,23,PRSD,NUEVA MAYORIA,0,FERNANDO MEZA MONCADA,2019,9
866,23,PRSD,NUEVA MAYORIA,0,FERNANDO MEZA MONCADA,2020,9
1052,23,EVOPOLI,CHILE VAMOS,1,ANDRES MOLINA MAGOFKE,2020,9
1020,23,PPD,NUEVA MAYORIA,0,RICARDO CELIS ARAYA,2020,9
1050,23,RN,CHILE VAMOS,1,MIGUEL MELLADO SUAZO,2020,9
1010,23,EVOPOLI,CHILE VAMOS,1,SEBASTIAN ALVAREZ RAMIREZ,2020,9
950,23,IND,SIN PACTO,0,RENE SAFFIRIO ESPINOZA,2020,9
843,23,RN,CHILE VAMOS,1,RENE MANUEL GARCIA GARCIA,2020,9
1010,23,EVOPOLI,CHILE VAMOS,1,SEBASTIAN ALVAREZ RAMIREZ,2021,9
1050,23,RN,CHILE VAMOS,1,MIGUEL MELLADO SUAZO,2021,9
843,23,RN,CHILE VAMOS,1,RENE MANUEL GARCIA GARCIA,2021,9
950,23,IND,SIN PACTO,0,RENE SAFFIRIO ESPINOZA,2021,9
1052,23,EVOPOLI,CHILE VAMOS,1,ANDRES MOLINA MAGOFKE,2021,9
866,23,PRSD,NUEVA MAYORIA,0,FERNANDO MEZA MONCADA,2021,9
1020,23,PPD,NUEVA MAYORIA,0,RICARDO CELIS ARAYA,2021,9
1154,23,IND,SIN PACTO,1,Mauricio Ojeda Rebolledo,2022,9
1172,23,IND,FRENTE SOCIAL CRISTIANO,1,Stephan Schubert Rubio,2022,9
1134,23,AMARILLOS,AMARILLOS,777,Andrés Jouannet Valderrama,2022,9
1153,23,RD,FRENTE AMPLIO,0,Ericka Ñanco Vásquez,2022,9
1106,23,RN,CHILE VAMOS,1,Miguel Ángel Becker Alvear,2022,9
1138,23,UDI,CHILE VAMOS,1,Henry Leal Bizama,2022,9
1050,23,RN,CHILE VAMOS,1,Miguel Mellado Suazo,2022,9
1050,23,RN,CHILE VAMOS,1,Miguel Mellado Suazo,2023,9
1154,23,IND,SIN PACTO,1,Mauricio Ojeda Rebolledo,2023,9
1153,23,RD,FRENTE AMPLIO,0,Ericka Ñanco Vásquez,2023,9
1134,23,AMARILLOS,AMARILLOS,777,Andrés Jouannet Valderrama,2023,9
1172,23,IND,FRENTE SOCIAL CRISTIANO,1,Stephan Schubert Rubio,2023,9
1106,23,RN,CHILE VAMOS,1,Miguel Ángel Becker Alvear,2023,9
1138,23,UDI,CHILE VAMOS,1,Henry Leal Bizama,2023,9
1172,23,IND,FRENTE SOCIAL CRISTIANO,1,Stephan Schubert Rubio,2024,9
1154,23,IND,SIN PACTO,1,Mauricio Ojeda Rebolledo,2024,9
1106,23,RN,CHILE VAMOS,1,Miguel Ángel Becker Alvear,2024,9
1138,23,UDI,CHILE VAMOS,1,Henry Leal Bizama,2024,9
1153,23,RD,FRENTE AMPLIO,0,Ericka Ñanco Vásquez,2024,9
1134,23,AMARILLOS,AMARILLOS,777,Andrés Jouannet Valderrama,2024,9
1050,23,RN,CHILE VAMOS,1,Miguel Mellado Suazo,2024,9
857,24,UDI,CHILE VAMOS,1,JOSE ANTONIO KAST RIST,2014,13
996,24,PDC,NUEVA MAYORIA,0,JAIME HERNAN PILOWSKY GREENE,2014,13
857,24,UDI,CHILE VAMOS,1,JOSE ANTONIO KAST RIST,2015,13
996,24,PDC,NUEVA MAYORIA,0,JAIME HERNAN PILOWSKY GREENE,2015,13
857,24,UDI,CHILE VAMOS,1,JOSE ANTONIO KAST RIST,2016,13
996,24,PDC,NUEVA MAYORIA,0,JAIME HERNAN PILOWSKY GREENE,2016,13
857,24,UDI,CHILE VAMOS,1,JOSE ANTONIO KAST RIST,2017,13
996,24,PDC,NUEVA MAYORIA,0,JAIME HERNAN PILOWSKY GREENE,2017,13
982,24,PDC,PDC,0,IVAN ALBERTO FLORES GARCIA,2018,14
971,24,RN,CHILE VAMOS,1,BERNARDO BERGER FETT,2018,14
917,24,UDI,CHILE VAMOS,1,GASTON VON MUHLENBROCK ZAMORA,2018,14
1038,24,PS,NUEVA MAYORIA,0,MARCOS ILABACA CERDA,2018,14
1070,24,PS,NUEVA MAYORIA,0,PATRICIO ROSAS BARRIENTOS,2018,14
971,24,RN,CHILE VAMOS,1,BERNARDO BERGER FETT,2019,14
1038,24,PS,NUEVA MAYORIA,0,MARCOS ILABACA CERDA,2019,14
917,24,UDI,CHILE VAMOS,1,GASTON VON MUHLENBROCK ZAMORA,2019,14
1070,24,PS,NUEVA MAYORIA,0,PATRICIO ROSAS BARRIENTOS,2019,14
982,24,PDC,PDC,0,IVAN ALBERTO FLORES GARCIA,2019,14
971,24,RN,CHILE VAMOS,1,BERNARDO BERGER FETT,2020,14
1038,24,PS,NUEVA MAYORIA,0,MARCOS ILABACA CERDA,2020,14
982,24,PDC,PDC,0,IVAN ALBERTO FLORES GARCIA,2020,14
917,24,UDI,CHILE VAMOS,1,GASTON VON MUHLENBROCK ZAMORA,2020,14
1070,24,PS,NUEVA MAYORIA,0,PATRICIO ROSAS BARRIENTOS,2020,14
1070,24,PS,NUEVA MAYORIA,0,PATRICIO ROSAS BARRIENTOS,2021,14
971,24,RN,CHILE VAMOS,1,BERNARDO BERGER FETT,2021,14
917,24,UDI,CHILE VAMOS,1,GASTON VON MUHLENBROCK ZAMORA,2021,14
1038,24,PS,NUEVA MAYORIA,0,MARCOS ILABACA CERDA,2021,14
982,24,PDC,PDC,0,IVAN ALBERTO FLORES GARCIA,2021,14
1112,24,PS,NUEVA MAYORIA,0,Ana María Bravo Castro,2022,14
971,24,IND,CHILE VAMOS,1,Bernardo Berger Fett,2022,14
1038,24,PS,NUEVA MAYORIA,0,Marcos Ilabaca Cerda,2022,14
1070,24,IND,FRENTE AMPLIO,0,Patricio Rosas Barrientos,2022,14
917,24,UDI,CHILE VAMOS,1,Gastón Von Mühlenbrock Zamora,2022,14
1038,24,PS,NUEVA MAYORIA,0,Marcos Ilabaca Cerda,2023,14
971,24,IND,CHILE VAMOS,1,Bernardo Berger Fett,2023,14
1112,24,PS,NUEVA MAYORIA,0,Ana María Bravo Castro,2023,14
917,24,UDI,CHILE VAMOS,1,Gastón Von Mühlenbrock Zamora,2023,14
1070,24,IND,FRENTE AMPLIO,0,Patricio Rosas Barrientos,2023,14
917,24,UDI,CHILE VAMOS,1,Gastón Von Mühlenbrock Zamora,2024,14
1070,24,IND,FRENTE AMPLIO,0,Patricio Rosas Barrientos,2024,14
1112,24,PS,NUEVA MAYORIA,0,Ana María Bravo Castro,2024,14
1038,24,PS,NUEVA MAYORIA,0,Marcos Ilabaca Cerda,2024,14
971,24,IND,CHILE VAMOS,1,Bernardo Berger Fett,2024,14
969,25,PDC,NUEVA MAYORIA,0,CLAUDIO EUGENIO ARRIAGADA MACAYA,2014,13
839,25,PPD,NUEVA MAYORIA,0,RAMON ALBERTO FARIAS PONCE,2014,13
839,25,PPD,NUEVA MAYORIA,0,RAMON ALBERTO FARIAS PONCE,2015,13
969,25,PDC,NUEVA MAYORIA,0,CLAUDIO EUGENIO ARRIAGADA MACAYA,2015,13
839,25,PPD,NUEVA MAYORIA,0,RAMON ALBERTO FARIAS PONCE,2016,13
969,25,PDC,NUEVA MAYORIA,0,CLAUDIO EUGENIO ARRIAGADA MACAYA,2016,13
839,25,PPD,NUEVA MAYORIA,0,RAMON ALBERTO FARIAS PONCE,2017,13
969,25,PDC,NUEVA MAYORIA,0,CLAUDIO EUGENIO ARRIAGADA MACAYA,2017,13
1056,25,PS,NUEVA MAYORIA,0,EMILIA IRIS NUYADO ANCAPICHUN,2018,10
850,25,UDI,CHILE VAMOS,1,JAVIER HERNANDEZ HERNANDEZ,2018,10
837,25,PS,NUEVA MAYORIA,0,FIDEL ESPINOZA SANDOVAL,2018,10
1040,25,RN,CHILE VAMOS,1,HARRY JURGENSEN RUNDSHAGEN,2018,10
837,25,PS,NUEVA MAYORIA,0,FIDEL ESPINOZA SANDOVAL,2019,10
850,25,UDI,CHILE VAMOS,1,JAVIER HERNANDEZ HERNANDEZ,2019,10
1056,25,PS,NUEVA MAYORIA,0,EMILIA IRIS NUYADO ANCAPICHUN,2019,10
1040,25,RN,CHILE VAMOS,1,HARRY JURGENSEN RUNDSHAGEN,2019,10
1056,25,PS,NUEVA MAYORIA,0,EMILIA IRIS NUYADO ANCAPICHUN,2020,10
837,25,PS,NUEVA MAYORIA,0,FIDEL ESPINOZA SANDOVAL,2020,10
1040,25,RN,CHILE VAMOS,1,HARRY JURGENSEN RUNDSHAGEN,2020,10
850,25,UDI,CHILE VAMOS,1,JAVIER HERNANDEZ HERNANDEZ,2020,10
1056,25,PS,NUEVA MAYORIA,0,EMILIA IRIS NUYADO ANCAPICHUN,2021,10
837,25,PS,NUEVA MAYORIA,0,FIDEL ESPINOZA SANDOVAL,2021,10
850,25,UDI,CHILE VAMOS,1,JAVIER HERNANDEZ HERNANDEZ,2021,10
1040,25,RN,CHILE VAMOS,1,HARRY JURGENSEN RUNDSHAGEN,2021,10
1056,25,PS,NUEVA MAYORIA,0,Emilia Nuyado Ancapichún,2022,10
1040,25,IND,FRENTE SOCIAL CRISTIANO,1,Harry Jürgensen Rundshagen,2022,10
1140,25,UDI,CHILE VAMOS,1,Daniel Lilayu Vivanco,2022,10
1105,25,PDC,PDC,0,Héctor Barría Angulo,2022,10
1040,25,IND,FRENTE SOCIAL CRISTIANO,1,Harry Jürgensen Rundshagen,2023,10
1105,25,PDC,PDC,0,Héctor Barría Angulo,2023,10
1056,25,PS,NUEVA MAYORIA,0,Emilia Nuyado Ancapichún,2023,10
1140,25,UDI,CHILE VAMOS,1,Daniel Lilayu Vivanco,2023,10
1105,25,PDC,PDC,0,Héctor Barría Angulo,2024,10
1056,25,PS,NUEVA MAYORIA,0,Emilia Nuyado Ancapichún,2024,10
1140,25,UDI,CHILE VAMOS,1,Daniel Lilayu Vivanco,2024,10
1040,25,IND,FRENTE SOCIAL CRISTIANO,1,Harry Jürgensen Rundshagen,2024,10
939,26,UDI,CHILE VAMOS,1,GUSTAVO ADOLFO HASBUN SELUME,2014,13
1006,26,PC,NUEVA MAYORIA,0,CAMILA ANTONIA VALLEJO DOWLING,2014,13
1006,26,PC,NUEVA MAYORIA,0,CAMILA ANTONIA VALLEJO DOWLING,2015,13
939,26,UDI,CHILE VAMOS,1,GUSTAVO ADOLFO HASBUN SELUME,2015,13
939,26,UDI,CHILE VAMOS,1,GUSTAVO ADOLFO HASBUN SELUME,2016,13
1006,26,PC,NUEVA MAYORIA,0,CAMILA ANTONIA VALLEJO DOWLING,2016,13
939,26,UDI,CHILE VAMOS,1,GUSTAVO ADOLFO HASBUN SELUME,2017,13
1006,26,PC,NUEVA MAYORIA,0,CAMILA ANTONIA VALLEJO DOWLING,2017,13
952,26,RN,CHILE VAMOS,1,ALEJANDRO SANTANA TIRACHINI,2018,10
1013,26,PL,PL,0,ALEJANDRO JAVIER BERNALES MALDONADO,2018,10
172,26,RN,CHILE VAMOS,1,CARLOS IGNACIO KUSCHEL SILVA,2018,10
968,26,PS,NUEVA MAYORIA,0,JENNY ALVAREZ VERA,2018,10
810,26,PDC,PDC,0,GABRIEL HECTOR ASCENCIO MANSILLA,2018,10
968,26,PS,NUEVA MAYORIA,0,JENNY ALVAREZ VERA,2019,10
952,26,RN,CHILE VAMOS,1,ALEJANDRO SANTANA TIRACHINI,2019,10
810,26,PDC,PDC,0,GABRIEL HECTOR ASCENCIO MANSILLA,2019,10
1013,26,PL,PL,0,ALEJANDRO JAVIER BERNALES MALDONADO,2019,10
172,26,RN,CHILE VAMOS,1,CARLOS IGNACIO KUSCHEL SILVA,2019,10
1013,26,PL,PL,0,ALEJANDRO JAVIER BERNALES MALDONADO,2020,10
810,26,PDC,PDC,0,GABRIEL HECTOR ASCENCIO MANSILLA,2020,10
968,26,PS,NUEVA MAYORIA,0,JENNY ALVAREZ VERA,2020,10
172,26,RN,CHILE VAMOS,1,CARLOS IGNACIO KUSCHEL SILVA,2020,10
952,26,RN,CHILE VAMOS,1,ALEJANDRO SANTANA TIRACHINI,2020,10
810,26,PDC,PDC,0,GABRIEL HECTOR ASCENCIO MANSILLA,2021,10
968,26,PS,NUEVA MAYORIA,0,JENNY ALVAREZ VERA,2021,10
1013,26,PL,PL,0,ALEJANDRO JAVIER BERNALES MALDONADO,2021,10
952,26,RN,CHILE VAMOS,1,ALEJANDRO SANTANA TIRACHINI,2021,10
172,26,RN,CHILE VAMOS,1,CARLOS IGNACIO KUSCHEL SILVA,2021,10
1111,26,UDI,CHILE VAMOS,1,Fernando Bórquez Montecinos,2022,10
1178,26,IND,NUEVA MAYORIA,0,Héctor Ulloa Aguilera,2022,10
1013,26,PL,PL,0,Alejandro Bernales Maldonado,2022,10
1167,26,RD,FRENTE AMPLIO,0,Jaime Sáez Quiroz,2022,10
1131,26,RN,CHILE VAMOS,1,Mauro González Villarroel,2022,10
1167,26,RD,FRENTE AMPLIO,0,Jaime Sáez Quiroz,2023,10
1013,26,PL,PL,0,Alejandro Bernales Maldonado,2023,10
1111,26,UDI,CHILE VAMOS,1,Fernando Bórquez Montecinos,2023,10
1178,26,IND,NUEVA MAYORIA,0,Héctor Ulloa Aguilera,2023,10
1131,26,RN,CHILE VAMOS,1,Mauro González Villarroel,2023,10
1013,26,PL,PL,0,Alejandro Bernales Maldonado,2024,10
1111,26,UDI,CHILE VAMOS,1,Fernando Bórquez Montecinos,2024,10
1167,26,RD,FRENTE AMPLIO,0,Jaime Sáez Quiroz,2024,10
1131,26,RN,CHILE VAMOS,1,Mauro González Villarroel,2024,10
1178,26,IND,NUEVA MAYORIA,0,Héctor Ulloa Aguilera,2024,10
856,27,PPD,NUEVA MAYORIA,0,TUCAPEL FRANCISCO JIMENEZ FUENTES,2014,13
990,27,PS,NUEVA MAYORIA,0,DANIEL ALEXANDER MELO CONTRERAS,2014,13
990,27,PS,NUEVA MAYORIA,0,DANIEL ALEXANDER MELO CONTRERAS,2015,13
856,27,PPD,NUEVA MAYORIA,0,TUCAPEL FRANCISCO JIMENEZ FUENTES,2015,13
856,27,PPD,NUEVA MAYORIA,0,TUCAPEL FRANCISCO JIMENEZ FUENTES,2016,13
990,27,PS,NUEVA MAYORIA,0,DANIEL ALEXANDER MELO CONTRERAS,2016,13
990,27,PS,NUEVA MAYORIA,0,DANIEL ALEXANDER MELO CONTRERAS,2017,13
856,27,PPD,NUEVA MAYORIA,0,TUCAPEL FRANCISCO JIMENEZ FUENTES,2017,13
1045,27,RN,CHILE VAMOS,1,ARACELY LEUQUEN URIBE,2018,11
1016,27,PDC,PDC,0,MIGUEL ANGEL CALISTO AGUILA,2018,11
803,27,PPD,NUEVA MAYORIA,0,RENE OSVALDO ALINCO BUSTOS,2018,11
1045,27,RN,CHILE VAMOS,1,ARACELY LEUQUEN URIBE,2019,11
1016,27,PDC,PDC,0,MIGUEL ANGEL CALISTO AGUILA,2019,11
803,27,PPD,NUEVA MAYORIA,0,RENE OSVALDO ALINCO BUSTOS,2019,11
1045,27,RN,CHILE VAMOS,1,ARACELY LEUQUEN URIBE,2020,11
803,27,PPD,NUEVA MAYORIA,0,RENE OSVALDO ALINCO BUSTOS,2020,11
1016,27,PDC,PDC,0,MIGUEL ANGEL CALISTO AGUILA,2020,11
803,27,PPD,NUEVA MAYORIA,0,RENE OSVALDO ALINCO BUSTOS,2021,11
1016,27,PDC,PDC,0,MIGUEL ANGEL CALISTO AGUILA,2021,11
1045,27,RN,CHILE VAMOS,1,ARACELY LEUQUEN URIBE,2021,11
1163,27,RN,CHILE VAMOS,1,Marcia Raphael Mora,2022,11
1016,27,IND,SIN PACTO,777,Miguel Ángel Calisto Águila,2022,11
803,27,IND,SIN PACTO,777,René Alinco Bustos,2022,11
1163,27,RN,CHILE VAMOS,1,Marcia Raphael Mora,2023,11
1016,27,IND,SIN PACTO,777,Miguel Ángel Calisto Águila,2023,11
803,27,IND,SIN PACTO,777,René Alinco Bustos,2023,11
803,27,IND,SIN PACTO,777,René Alinco Bustos,2024,11
1163,27,RN,CHILE VAMOS,1,Marcia Raphael Mora,2024,11
1016,27,IND,SIN PACTO,777,Miguel Ángel Calisto Águila,2024,11
956,28,PC,NUEVA MAYORIA,0,GUILLERMO LEON TEILLIER DEL VALLE,2014,13
927,28,RN,CHILE VAMOS,1,PEDRO PABLO BROWNE URREJOLA,2014,13
956,28,PC,NUEVA MAYORIA,0,GUILLERMO LEON TEILLIER DEL VALLE,2015,13
927,28,RN,CHILE VAMOS,1,PEDRO PABLO BROWNE URREJOLA,2015,13
927,28,RN,CHILE VAMOS,1,PEDRO PABLO BROWNE URREJOLA,2016,13
956,28,PC,NUEVA MAYORIA,0,GUILLERMO LEON TEILLIER DEL VALLE,2016,13
927,28,RN,CHILE VAMOS,1,PEDRO PABLO BROWNE URREJOLA,2017,13
956,28,PC,NUEVA MAYORIA,0,GUILLERMO LEON TEILLIER DEL VALLE,2017,13
1011,28,UDI,CHILE VAMOS,1,SANDRA AMAR MANCILLA,2018,12
972,28,PH,PH,0,GABRIEL BORIC FONT,2018,12
1014,28,PRSD,NUEVA MAYORIA,0,KARIM ANTONIO BIANCHI RETAMALES,2018,12
1011,28,UDI,CHILE VAMOS,1,SANDRA AMAR MANCILLA,2019,12
1014,28,PRSD,NUEVA MAYORIA,0,KARIM ANTONIO BIANCHI RETAMALES,2019,12
972,28,PH,PH,0,GABRIEL BORIC FONT,2019,12
1014,28,PRSD,NUEVA MAYORIA,0,KARIM ANTONIO BIANCHI RETAMALES,2020,12
972,28,PH,PH,0,GABRIEL BORIC FONT,2020,12
1011,28,UDI,CHILE VAMOS,1,SANDRA AMAR MANCILLA,2020,12
1014,28,PRSD,NUEVA MAYORIA,0,KARIM ANTONIO BIANCHI RETAMALES,2021,12
972,28,PH,PH,0,GABRIEL BORIC FONT,2021,12
1011,28,UDI,CHILE VAMOS,1,SANDRA AMAR MANCILLA,2021,12
1144,28,IND,CHILE VAMOS,1,Christian Matheson Villán,2022,12
1148,28,CS,FRENTE AMPLIO,0,Javiera Morales Alvarado,2022,12
1110,28,IND,NUEVA MAYORIA,0,Carlos Bianchi Chelech,2022,12
1144,28,IND,CHILE VAMOS,1,Christian Matheson Villán,2023,12
1148,28,CS,FRENTE AMPLIO,0,Javiera Morales Alvarado,2023,12
1110,28,IND,NUEVA MAYORIA,0,Carlos Bianchi Chelech,2023,12
1110,28,IND,NUEVA MAYORIA,0,Carlos Bianchi Chelech,2024,12
1148,28,CS,FRENTE AMPLIO,0,Javiera Morales Alvarado,2024,12
1144,28,IND,CHILE VAMOS,1,Christian Matheson Villán,2024,12
946,29,RN,CHILE VAMOS,1,LEOPOLDO ALFREDO PEREZ LAHSEN,2014,13
924,29,PS,NUEVA MAYORIA,0,OSVALDO RAUL ANDRADE LARA,2014,13
924,29,PS,NUEVA MAYORIA,0,OSVALDO RAUL ANDRADE LARA,2015,13
946,29,RN,CHILE VAMOS,1,LEOPOLDO ALFREDO PEREZ LAHSEN,2015,13
924,29,PS,NUEVA MAYORIA,0,OSVALDO RAUL ANDRADE LARA,2016,13
946,29,RN,CHILE VAMOS,1,LEOPOLDO ALFREDO PEREZ LAHSEN,2016,13
924,29,PS,NUEVA MAYORIA,0,OSVALDO RAUL ANDRADE LARA,2017,13
946,29,RN,CHILE VAMOS,1,LEOPOLDO ALFREDO PEREZ LAHSEN,2017,13
1002,30,PS,NUEVA MAYORIA,0,LEONARDO ENRIQUE SOTO FERRADA,2014,13
970,30,UDI,CHILE VAMOS,1,JAIME ANDRES BELLOLIO AVARIA,2014,13
1002,30,PS,NUEVA MAYORIA,0,LEONARDO ENRIQUE SOTO FERRADA,2015,13
970,30,UDI,CHILE VAMOS,1,JAIME ANDRES BELLOLIO AVARIA,2015,13
970,30,UDI,CHILE VAMOS,1,JAIME ANDRES BELLOLIO AVARIA,2016,13
1002,30,PS,NUEVA MAYORIA,0,LEONARDO ENRIQUE SOTO FERRADA,2016,13
1002,30,PS,NUEVA MAYORIA,0,LEONARDO ENRIQUE SOTO FERRADA,2017,13
970,30,UDI,CHILE VAMOS,1,JAIME ANDRES BELLOLIO AVARIA,2017,13
976,31,UDI,CHILE VAMOS,1,JUAN ANTONIO COLOMA ALAMOS,2014,13
883,31,PS,NUEVA MAYORIA,0,DENISE SIMONE PASCAL ALLENDE,2014,13
976,31,UDI,CHILE VAMOS,1,JUAN ANTONIO COLOMA ALAMOS,2015,13
883,31,PS,NUEVA MAYORIA,0,DENISE SIMONE PASCAL ALLENDE,2015,13
883,31,PS,NUEVA MAYORIA,0,DENISE SIMONE PASCAL ALLENDE,2016,13
976,31,UDI,CHILE VAMOS,1,JUAN ANTONIO COLOMA ALAMOS,2016,13
883,31,PS,NUEVA MAYORIA,0,DENISE SIMONE PASCAL ALLENDE,2017,13
976,31,UDI,CHILE VAMOS,1,JUAN ANTONIO COLOMA ALAMOS,2017,13
931,32,PS,NUEVA MAYORIA,0,JUAN LUIS CASTRO GONZALEZ,2014,6
967,32,UDI,CHILE VAMOS,1,ISSA FARID KORT GARRIGA,2014,6
931,32,PS,NUEVA MAYORIA,0,JUAN LUIS CASTRO GONZALEZ,2015,6
967,32,UDI,CHILE VAMOS,1,ISSA FARID KORT GARRIGA,2015,6
931,32,PS,NUEVA MAYORIA,0,JUAN LUIS CASTRO GONZALEZ,2016,6
967,32,UDI,CHILE VAMOS,1,ISSA FARID KORT GARRIGA,2016,6
931,32,PS,NUEVA MAYORIA,0,JUAN LUIS CASTRO GONZALEZ,2017,6
967,32,UDI,CHILE VAMOS,1,ISSA FARID KORT GARRIGA,2017,6
947,33,PDC,NUEVA MAYORIA,0,RICARDO ENRIQUE RINCON GONZALEZ,2014,6
177,33,PPD,NUEVA MAYORIA,0,FELIPE RUDECINDO LETELIER NORAMBUENA,2014,6
947,33,PDC,NUEVA MAYORIA,0,RICARDO ENRIQUE RINCON GONZALEZ,2015,6
177,33,PPD,NUEVA MAYORIA,0,FELIPE RUDECINDO LETELIER NORAMBUENA,2015,6
177,33,PPD,NUEVA MAYORIA,0,FELIPE RUDECINDO LETELIER NORAMBUENA,2016,6
947,33,PDC,NUEVA MAYORIA,0,RICARDO ENRIQUE RINCON GONZALEZ,2016,6
947,33,PDC,NUEVA MAYORIA,0,RICARDO ENRIQUE RINCON GONZALEZ,2017,6
177,33,PPD,NUEVA MAYORIA,0,FELIPE RUDECINDO LETELIER NORAMBUENA,2017,6
897,34,IND,SIN PACTO,0,ALEJANDRA AMALIA SEPULVEDA ORBENES,2014,6
942,34,UDI,CHILE VAMOS,1,JAVIER IGNACIO MACAYA DANUS,2014,6
942,34,UDI,CHILE VAMOS,1,JAVIER IGNACIO MACAYA DANUS,2015,6
897,34,IND,SIN PACTO,0,ALEJANDRA AMALIA SEPULVEDA ORBENES,2015,6
897,34,IND,SIN PACTO,0,ALEJANDRA AMALIA SEPULVEDA ORBENES,2016,6
942,34,UDI,CHILE VAMOS,1,JAVIER IGNACIO MACAYA DANUS,2016,6
942,34,UDI,CHILE VAMOS,1,JAVIER IGNACIO MACAYA DANUS,2017,6
897,34,IND,SIN PACTO,0,ALEJANDRA AMALIA SEPULVEDA ORBENES,2017,6
811,35,UDI,CHILE VAMOS,1,RAMON JOSE BARROS MONTERO,2014,6
979,35,PDC,NUEVA MAYORIA,0,SERGIO ESPEJO YAKSIC,2014,6
979,35,PDC,NUEVA MAYORIA,0,SERGIO ESPEJO YAKSIC,2015,6
811,35,UDI,CHILE VAMOS,1,RAMON JOSE BARROS MONTERO,2015,6
811,35,UDI,CHILE VAMOS,1,RAMON JOSE BARROS MONTERO,2016,6
979,35,PDC,NUEVA MAYORIA,0,SERGIO ESPEJO YAKSIC,2016,6
811,35,UDI,CHILE VAMOS,1,RAMON JOSE BARROS MONTERO,2017,6
979,35,PDC,NUEVA MAYORIA,0,SERGIO ESPEJO YAKSIC,2017,6
860,36,PDC,NUEVA MAYORIA,0,ROBERTO EDUARDO LEON RAMIREZ,2014,7
945,36,UDI,CHILE VAMOS,1,CELSO RENE MORALES MUÑOZ,2014,7
860,36,PDC,NUEVA MAYORIA,0,ROBERTO EDUARDO LEON RAMIREZ,2015,7
945,36,UDI,CHILE VAMOS,1,CELSO RENE MORALES MUÑOZ,2015,7
945,36,UDI,CHILE VAMOS,1,CELSO RENE MORALES MUÑOZ,2016,7
860,36,PDC,NUEVA MAYORIA,0,ROBERTO EDUARDO LEON RAMIREZ,2016,7
945,36,UDI,CHILE VAMOS,1,CELSO RENE MORALES MUÑOZ,2017,7
860,36,PDC,NUEVA MAYORIA,0,ROBERTO EDUARDO LEON RAMIREZ,2017,7
802,37,INDEPENDIENTES LISTA C,NUEVA MAYORIA,0,SERGIO PATRICIO AGUILO MELO,2014,7
915,37,RN,CHILE VAMOS,1,JOSE GERMAN VERDUGO SOTO,2014,7
802,37,INDEPENDIENTES LISTA C,NUEVA MAYORIA,0,SERGIO PATRICIO AGUILO MELO,2015,7
915,37,RN,CHILE VAMOS,1,JOSE GERMAN VERDUGO SOTO,2015,7
802,37,INDEPENDIENTES LISTA C,NUEVA MAYORIA,0,SERGIO PATRICIO AGUILO MELO,2016,7
915,37,RN,CHILE VAMOS,1,JOSE GERMAN VERDUGO SOTO,2016,7
802,37,INDEPENDIENTES LISTA C,NUEVA MAYORIA,0,SERGIO PATRICIO AGUILO MELO,2017,7
915,37,RN,CHILE VAMOS,1,JOSE GERMAN VERDUGO SOTO,2017,7
