deputyid,distrito,partido,pacto,tendencia,nombre,year,region
1113,19,UDI,CHILE VAMOS,1,Marta Bravo Salinas,2023,16
1143,19,UDI,CHILE VAMOS,1,Cristóbal Martínez Ramírez,2023,16
953,19,RN,CHILE VAMOS,1,Frank Sauerbaum Muñoz,2023,16
1119,19,PSC,FRENTE SOCIAL CRISTIANO,1,Sara Concha Smith,2023,16
1116,19,IND,SIN PACTO,0,Felipe Camaño Cárdenas,2024,16
1143,19,UDI,CHILE VAMOS,1,Cristóbal Martínez Ramírez,2024,16
1119,19,PSC,FRENTE SOCIAL CRISTIANO,1,Sara Concha Smith,2024,16
1113,19,UDI,CHILE VAMOS,1,Marta Bravo Salinas,2024,16
953,19,RN,CHILE VAMOS,1,Frank Sauerbaum Muñoz,2024,16
925,20,PPD,NUEVA MAYORIA,0,PEPE AUTH STEWART,2014,13
989,20,UDI,CHILE VAMOS,1,JOAQUIN JOSE LAVIN LEON,2014,13
989,20,UDI,CHILE VAMOS,1,JOAQUIN JOSE LAVIN LEON,2015,13
925,20,PPD,NUEVA MAYORIA,0,PEPE AUTH STEWART,2015,13
989,20,UDI,CHILE VAMOS,1,JOAQUIN JOSE LAVIN LEON,2016,13
925,20,PPD,NUEVA MAYORIA,0,PEPE AUTH STEWART,2016,13
925,20,PPD,NUEVA MAYORIA,0,PEPE AUTH STEWART,2017,13
989,20,UDI,CHILE VAMOS,1,JOAQUIN JOSE LAVIN LEON,2017,13
1054,20,RN,CHILE VAMOS,1,FRANCESCA MUÑOZ GONZALEZ,2018,8
1034,20,PEV,PEV,0,FELIX GONZALEZ GATICA,2018,8
959,20,UDI,CHILE VAMOS,1,ENRIQUE VAN RYSSELBERGHE HERRERA,2018,8
1078,20,PS,NUEVA MAYORIA,0,JAIME TOHA GONZALEZ,2018,8
1069,20,RN,CHILE VAMOS,1,LEONIDAS ROMERO SAEZ,2018,8
815,20,UDI,CHILE VAMOS,1,SERGIO BOBADILLA MUÑOZ,2018,8
1071,20,PS,NUEVA MAYORIA,0,GASTON SAAVEDRA CHANDIA,2018,8
879,20,PDC,PDC,0,JOSE MIGUEL ORTIZ NOVOA,2018,8
1071,20,PS,NUEVA MAYORIA,0,GASTON SAAVEDRA CHANDIA,2019,8
1034,20,PEV,PEV,0,FELIX GONZALEZ GATICA,2019,8
1069,20,RN,CHILE VAMOS,1,LEONIDAS ROMERO SAEZ,2019,8
1054,20,RN,CHILE VAMOS,1,FRANCESCA MUÑOZ GONZALEZ,2019,8
879,20,PDC,PDC,0,JOSE MIGUEL ORTIZ NOVOA,2019,8
959,20,UDI,CHILE VAMOS,1,ENRIQUE VAN RYSSELBERGHE HERRERA,2019,8
