nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos
GONZALO IBANEZ SANTA MARIA,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gonzalo_Ibáñez_Santa_María,Gonzalo José Salvador,Ibáñez,Santa María,Doctor en Derecho,30 de Noviembre de 1945,Valparaíso,,,1,4
LAURA SOTO GONZALEZ,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Laura_Soto_González,Laura,Soto,González,Abogada,15 de Diciembre de 1931,,,,1,dos
ALDO CORNEJO GONZALEZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aldo_Cornejo_González,Aldo,Cornejo,González,Abogado,19 de Abril de 1955,Curicó,,Católica,1,cuatro
ARTURO LONGTON GUERRERO,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Arturo_Longton_Guerrero,Arturo,Longton,Guerrero,Abogado,25 de Junio de 1948,Limache,03 de Julio de 2015,,1,tres
JUAN BUSTOS RAMIREZ,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_José_Bustos_Ramírez,Juan José,Bustos,Ramírez,Abogado,8 de Diciembre de 1935,Santiago,7 de Agosto de 2008,,1,siete
RAFAEL ARRATIA VALDEBENITO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rafael_Arratia_Valdebenito,Rafael,Arratia,Valdebenito,Médico Oftalmólogo,12 de Mayo de 1946,,,,1,cuatro
JUAN MASFERRER PELLIZZARI,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Masferrer_Pellizzari,Juan Alfonso Manuel,Masferrer,Pellizzari,Técnico en Motores a Reacción,19 de Noviembre de 1940,Angol,28 de Diciembre de 2017,,0,0
JUAN NUNEZ VALENZUELA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Núñez_Valenzuela,Juan Ramón,Núñez,Valenzuela,,18 de Octubre de 1943,Rancagua,,,1,cinco
RICARDO RINCON GONZALEZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Enrique_Rincón_González,Ricardo Enrique,Rincón,González,Abogado,22 de Marzo de 1967,Santiago,,,1,0
ANIBAL PEREZ LOBOS,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Aníbal_Pérez_Lobos,Aníbal Patricio,Pérez,Lobos,,20 de Enero de 1948,Santa Cruz,,,1,tres
ALEJANDRO GARCIA-HUIDOBRO SANFUENTES,UCCP,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_García-Huidobro_Sanfuentes,Alejandro,García Huidobro,Sanfuentes,Cientista Político,19 de Abril de 1952,Santiago,,,1,cinco
GUILLERMO CERONI FUENTES,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guillermo_Ceroni_Fuentes,Guillermo,Ceroni,Fuentes,"Abogado, agricultor",30 de Julio de 1946,Parral,,,1,0
OSVALDO PALMA FLORES,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Palma_Flores,Osvaldo,Palma,Flores,Médico Cirujano,2 de Octubre de 1952,,,,0,0
JAIME NARANJO ORTIZ,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Naranjo_Ortiz,Jaime,Naranjo,Ortiz,Magíster en Economía Agraria,12 de Enero de 1951,Melipilla,,,1,cinco
PABLO LORENZINI BASSO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Lorenzini_Basso,Pablo,Lorenzini,Basso,Doctor en Economía,25 de Octubre de 1949,Molina,,,1,dos
SERGIO CORREA DE LA CERDA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Correa_de_la_Cerda,Sergio,Correa,de la Cerda,Agricultor,12 de Mayo de 1938,Curicó,,,0,0
ROBERTO LEON RAMIREZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_León_Ramírez,Roberto,León,Ramírez,Abogado,11 de Febrero de 1951,Santiago,,,1,cuatro
SERGIO AGUILO MELO,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Aguiló_Melo,Sergio,Aguiló,Melo,Ingeniero Comercial,9 de Febrero de 1953,Santiago,,,1,tres
HOMERO GUTIERREZ ROMAN,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Homero_Gutiérrez_Román,Homero,Gutiérrez,Román,Profesor de Estado en Historia y Geografía,13 de Octubre de 1929,Talca,,,1,0
VICTOR PEREZ VARELA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Pérez_Varela,Víctor José,Pérez,Varela,Abogado,18 de Octubre de 1954,Santiago,,,1,0
JOSE PEREZ ARRIAGADA,PRSD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Pérez_Arriagada,José,Pérez,Arriagada,"Técnico Agrícola, Perito Forestal",29 de Diciembre de 1940,Los Angeles,,,1,0
HAROLDO FOSSA ROJAS,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Haroldo_Fossa_Rojas,Haroldo Lincoyán,Fossa,Rojas,Ingeniero Forestal,19 de Agosto de 1935,Concepción,7 de Septiembre de 2006,,1,0
JAIME ROCHA MANRIQUE,PRSD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Rocha_Manrique,Jaime,Rocha,Manrique,Abogado,4 de Noviembre de 1938,Lebu,1 de Octubre de 2012,,1,tres
IVAN MESIAS LEHU,PRSD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Mesías_Lehu,Iván,Mesías,Lehu,Industrial,3 de Abril de 1935,"Yumbel, VIII Región.",,,1,0
FELIPE LETELIER NORAMBUENA,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Letelier_Norambuena,Felipe,Letelier,Norambuena,Técnico Agrícola,11 de Mayo de 1956,Parral,,,1,0
ROSAURO MARTINEZ LABBE,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rosauro_Martínez_Labbé,Rosauro,Martínez,Labbé,Agricultor,11 de Noviembre de 1950,Chillán,,,1,cuatro
EDMUNDO SALAS DE LA FUENTE,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Salas_de_La_Fuente,Edmundo,Salas,de La Fuente,Relacionador Público,9 de Septiembre de 1936,Lota,,,1,siete
ALEJANDRO NAVARRO BRAIN,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alejandro_Navarro_Brain,Alejandro,Navarro,Brain,Profesor de Filosofía,20 de Noviembre de 1958,Santiago,,,0,seis
JORGE ULLOA AGUILLON,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Iván_Ulloa_Aguillón,Jorge Iván,Ulloa,Aguillón,Profesor de Historia y Geografía,15 de Septiembre de 1958,Talcahuano,,,1,0
VICTOR JEAME BARRUETO,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Jeame_Barrueto,Víctor,Jeame,Barrueto,"Ingeniero Comercial, Economista",1 de Julio de 1953,"Madrid, España",,,1,0
LUIS MONGE SANCHEZ,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Monge_Sánchez,Luis,Monge,Sánchez,"Abogado, agricultor",20 de Septiembre de 1948,Santiago,,,1,siete
EDMUNDO VILLOUTA CONCHA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edmundo_Villouta_Concha,Edmundo,Villouta,Concha,,17 de Septiembre de 1926,Mulchén,4 de Noviembre de 2020,,1,siete
EDUARDO DIAZ DEL RIO,PDS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eduardo_Díaz_del_Río,Eduardo José Antonio,Díaz,del Río,Licenciado en Ciencias Jurídicas,17 de Diciembre de 1973,,,,0,dos
EUGENIO TUMA ZEDAN,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eugenio_Tuma_Zedan,Eugenio,Tuma,Zedan,"Ingeniero comercial, Contador auditor",29 de Julio de 1945,Temuco,,,1,cuatro
MARIO ACUNA CISTERNAS,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Alberto_Acuña_Cisternas,Mario Alberto,Acuña,Cisternas,Ingeniero Agrónomo,26 de Septiembre de 1951,,,,1,dos
MIGUEL HERNANDEZ SAFFIRIO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Miguel_Hernández_Saffirio,Miguel,Hernández,Saffirio,Laboratorista Químico ; Empresario Hotelero,18 de Julio de 1949,,,,1,tres
JOSE GARCIA RUMINOT,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Gilberto_García_Ruminot,José,García,Ruminot,Contador Público y Auditor,22 de Mayo de 1955,Temuco,,,1,dos
FRANCISCO HUENCHUMILLA JARAMILLO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Huenchumilla_Jaramillo,Francisco Segundo,Huenchumilla,Jaramillo,Abogado,22 de Marzo de 1944,,,,1,seis
ROBERTO DELMASTRO NASO,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Delmastro_Naso,Roberto,Delmastro,Naso,Ingeniero Forestal,17 de Octubre de 1945,Valdivia,26 de Diciembre de 2014,,1,tres
EXEQUIEL SILVA ORTIZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Exequiel_Silva_Ortiz,Exequiel,Silva,Ortiz,Médico Veterinario,13 de Octubre de 1963,Santiago,,Católico,0,0
CARLOS CAMINONDO SAEZ,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Caminondo_Sáez,Carlos,Caminondo,Sáez,,28 de Diciembre de 1937,Lautaro,25 de Julio de 2024,,1,tres
ENRIQUE JARAMILLO BECKER,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Jaramillo_Becker,Enrique,Jaramillo,Becker,"Economista Bancario, Agricultor",11 de Julio de 1937,La Unión,,,1,tres
CLAUDIO ALVARADO ANDRADE,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Claudio_Alvarado_Andrade,Claudio Patricio,Alvarado,Andrade,Ingeniero Comercial; Licenciado en Administración de Empresas,7 de Febrero de 1960,Castro,,,0,cinco
GABRIEL ASCENCIO MANSILLA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gabriel_Ascencio_Mansilla,Gabriel,Ascencio,Mansilla,Abogado,25 de Octubre de 1953,Coyhaique,,,1,0
SERGIO ELGUETA BARRIENTOS,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Benedicto_Elgueta_Barrientos,Sergio Benedicto,Elgueta,Barrientos,Abogado,4 de Febrero de 1933,Puerto Montt,,,1,tres
CARLOS RECONDO LAVANDEROS,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Recondo_Lavanderos,Carlos,Recondo,Lavanderos,Médico Veterinario,27 de Abril de 1954,Puerto Montt,,,1,tres
VICTOR REYES ALVARADO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Víctor_Reyes_Alvarado,Víctor Fernando,Reyes,Alvarado,Abogado,2 de Julio de 1945,Osorno,,,1,tres
MARINA PROCHELLE AGUILAR,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marina_Prochelle_Aguilar,Marina,Prochelle,Aguilar,,9 de Diciembre de 1941,Valdivia,7 de Febrero de 2022,,1,tres
SERGIO OJEDA URIBE,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Ojeda_Uribe,Sergio,Ojeda,Uribe,Abogado,12 de Marzo de 1943,Riachuelo,,,1,cuatro
PABLO GALILEA CARRILLO,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Galilea_Carrillo,Pablo,Galilea,Carrillo,Ingeniero Comercial,31 de Enero de 1963,Coyhaique,,,1,0
RODRIGO ALVAREZ ZENTENO,ILB,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_Alvarez_Zenteno,Rodrigo,Álvarez,Zenteno,Doctor en Derecho,30 de Julio de 1966,Punta Arenas,,,1,cinco
PEDRO MUNOZ ABURTO,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Héctor_Muñoz_Aburto,Pedro Héctor,Muñoz,Aburto,Abogado,1 de Julio de 1944,Punta Arenas,,,1,dos
JAIME JIMENEZ VILLAVICENCIO,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Enrique_Jiménez_Villavicencio,Jaime Enrique,Jiménez,Villavicencio,Abogado,6 de Abril de 1963,Melipilla,,,1,dos
PABLO LONGUEIRA MONTES,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pablo_Longueira_Montes,Pablo,Longueira,Montes,Ingeniero Civil,12 de Agosto de 1958,Osorno,,,1,siete
EDGARDO RIVEROS MARIN,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Edgardo_Riveros_Marín,Edgardo,Riveros,Marín,Magíster en Ciencias Políticas y Derecho Internacional Público,3 de Septiembre de 1949,Los Ángeles,,,1,dos
GUIDO GIRARDI LAVIN,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Guido_Girardi_Lavín,Guido,Girardi,Lavín,Médico,24 de Enero de 1961,Santiago,,,1,0
CARLOS OLIVARES ZEPEDA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Olivares_Zepeda,Carlos,Olivares,Zepeda,Médico Cirujano,25 de Mayo de 1952,Coquimbo,,,1,0
PATRICIO MELERO ABAROA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Melero_Abaroa,Patricio,Melero,Abaroa,Ingeniero,19 de Junio de 1956,Santiago,,,1,dos
ZARKO LUKSIC SANDOVAL,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Zarko_Luksic_Sandoval,Zarko Cosme,Luksic,Sandoval,Doctor en Derecho,6 de Mayo de 1956,Santiago,,,1,cinco
MANUEL BUSTOS HUERTA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Antonio_Bustos_Huerta,Manuel Antonio,Bustos,Huerta,Sindicalista,2 de Diciembre de 1943,"San Enrique, comuna de Santo Domingo",27 de Septiembre de 1999,,1,0
IVAN MOREIRA BARROS,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Moreira_Barros,Iván,Moreira,Barros,,8 de Noviembre de 1956,Santiago,,Evangélico,1,dos
ELIANA CARABALL MARTINEZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Eliana_Caraball_Martínez,Eliana,Caraball,Martínez,Arquitecta,27 de Abril de 1937,Santiago,,,1,0
CRISTIAN LEAY MORAN,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristian_Antonio_Leay_Morán,Cristian Antonio,Leay,Morán,Ingeniero en Minas,9 de Febrero de 1954,Santiago,,,1,0
PATRICIO HALES DIB,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Patricio_Alejandro_Hales_Dib,Patricio Alejandro,Hales,Dib,Arquitecto,11 de Septiembre de 1946,Santiago,,,1,cinco
LILY PEREZ SAN MARTIN,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Lily_Jovanka_Pérez_San_Martín,Lily,Pérez,San Martín,Publicista,10 de Mayo de 1963,Santiago,,,1,dos
CARLOS MONTES CISTERNAS,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Montes_Cisternas,Carlos,Montes,Cisternas,,11 de Mayo de 1946,Santiago,,,1,tres
JAIME ORPIS BOUCHON,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon,Jaime,Orpis,Bouchon,Abogado,16 de Septiembre de 1956,Santiago,,,1,cuatro
ANDRES PALMA IRARRAZAVAL,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Andrés_Palma_Irarrázaval,Andrés Jaime,Palma,Irarrázaval,Magister en Economía,21 de Julio de 1955,Santiago,,,1,seis
TOMAS JOCELYN-HOLT LETELIER,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Tomás_Jocelyn_Holt_Letelier,Tomás,Jocelyn-Holt,Letelier,,16 de Enero de 1963,,,,1,0
JULIO DITTBORN CORDUA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Julio_Dittborn_Cordua,Julio,Dittborn,Cordua,Máster en Economía,19 de Octubre de 1951,Santiago,,,1,cuatro
DARIO PAYA MIRA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Darío_Paya_Mira,Darío Guillermo,Paya,Mira,Abogado,20 de Julio de 1964,Santiago,,,1,cuatro
RODOLFO SEGUEL MOLINA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodolfo_Seguel_Molina,Rodolfo,Seguel,Molina,,20 de Septiembre de 1953,,,,1,una
ALBERTO ESPINA OTERO,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Espina_Otero,Alberto,Espina,Otero,Abogado,4 de Noviembre de 1956,Santiago,,,1,tres
GUTENBERG MARTINEZ OCAMICA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gutenberg_Martínez_Ocamica,Gutenberg,Martínez,Ocamica,Abogado,29 de Agosto de 1950,Santiago,,,1,tres
ALBERTO CARDEMIL HERRERA,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Eugenio_Cardemil_Herrera,Alberto Eugenio,Cardemil,Herrera,Abogado,1 de Noviembre de 1945,"Chimbarongo, Chile",,,1,cuatro
ADRIANA MUNOZ DALBORA,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Adriana_Muñoz_D'Albora,Adriana Blanca Cristina,Muñoz,D'Albora,Magister en Sociología,25 de Septiembre de 1948,Santiago,,,0,0
ENRIQUE KRAUSS RUSQUE,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Krauss_Rusque,Enrique,Krauss,Rusque,Abogado,8 de Enero de 1932,Valdivia,,,0,0
ENRIQUE VAN RYSSELBERGH VARELA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Van_Rysselberghe_Varela,Enrique,Van Rysselberghe,Varela,Arquitecto,4 de Abril de 1937,Concepción,21 de Enero de 2013,,0,0
FRANCISCO BARTOLUCCI JOHNSTON,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Francisco_Bartolucci_Johnston,Mario Francisco,Bartolucci,Johnston,Abogado,24 de Noviembre de 1949,Santiago,,,1,0
FRANCISCO ENCINA MORIAMEZ,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Francisco_Encina_Moriamez,José Francisco,Encina,Moriamez,Sociólogo,18 de Noviembre de 1943,Concepción,,,1,0
GUSTAVO ALESSANDRI VALDES,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Alessandri_Vald%C3%A9s,Gustavo,Alessandri,Valdés,"Industrial, Abogado",30 de Abril de 1929,Santiago,18 de Julio de 2017,,0,0
ISABEL ALLENDE BUSSI,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Isabel_Allende_Bussi,María Isabel,Allende,Bussi,Socióloga,18 de Enero de 1945,Santiago,,,1,dos
ROSA ORFILIA GONZALEZ ROMAN,IND,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rosa_González_Román,Rosa Orfilia,González,Román,Empresaria minera,23 de Julio de 1942,Santiago,21 de Enero de 2019,,1,cinco
MARIA VICTORIA OVALLE OVALLE,UCCP,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Victoria_Ovalle_Ovalle,María Victoria,Ovalle,Ovalle,Empresaria,12 de Junio de 1947,,,,1,0
JUAN PABLO LETELIER MOREL,PS,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Pablo_Letelier_Morel,Juan Pablo,Letelier,Morel,Máster en Economía y Política Internacional,07 de Enero de 1961,Santiago,,,1,tres
JOSE MIGUEL ORTIZ NOVOA,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Miguel_Ortiz_Novoa,José Miguel,Ortiz,Novoa,Profesor de Educación Básica,22 de Noviembre de 1941,Santiago,,,1,tres
CARLOS ABEL JARPA WEVAR,PRSD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Abel_Jarpa_Wevar,Carlos Abel,Jarpa,Wevar,"Médico, Oftalmólogo",24 de Noviembre de 1944,Santiago,,,1,0
RENE MANUEL GARCIA GARCIA,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/René_Manuel_García_García,René Manuel,García,García,Perito Agrícola,24 de Mayo de 1950,Cunco,,,1,tres
JOSE ANTONIO GALILEA VIDAURRE,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Galilea_Vidaurre,José Antonio,Galilea,Vidaurre,Técnico Agrícola,19 de Noviembre de 1961,Santiago,,,1,0
CARLOS IGNACIO KUSCHEL SILVA,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ignacio_Kuschel_Silva,Carlos Ignacio,Kuschel,Silva,Ingeniero Comercial,16 de Marzo de 1953,Frutillar,,,1,0
JUAN ANTONIO COLOMA CORREA,UDI,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Antonio_Coloma_Correa,Juan Antonio,Coloma,Correa,Abogado,15 de Julio de 1956,Santiago,,,1,ocho
MARIA ANTONIETA SAA DIAZ,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Antonieta_Saa_Díaz,María Antonieta,Saa,Díaz,Profesora de Castellano,8 de Enero de 1943,Santiago,,,0,0
MARIA ANGELICA CRISTI MARFIL,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Angélica_Cristi_Marfil,María Angélica,Cristi,Marfil,Licenciada en sociología,13 de Octubre de 1941,Santiago,,,0,tres
LEOPOLDO SANCHEZ GRUNERT,PPD,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Leopoldo_Sánchez_Grunert,Bolívar Leopoldo,Sánchez,Grunert,Médico Veterinario,20 de Octubre de 1949,Santiago,,,1,0
LUIS PARETO GONZALEZ,DC,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Luis_Pareto_Gonz%C3%A1lez,Gastón Luis,Pareto,González,Empresario del transporte,29 de Agosto de 1925,Santiago,7 de Enero de 2022,,1,0
MAXIMIANO ERRAZURIZ EGUIGUREN,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Maximiano_Err%C3%A1zuriz_Eguiguren,Maximiano,Errázuriz,Eguiguren,"Abogado, Periodista",28 de Septiembre de 1945,Santiago,,,0,0
OSVALDO VEGA VERA,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Osvaldo_Vega_Vera,Osvaldo,Vega,Vera,Técnico Agrícola,24 de Julio de 1928,Cauquenes,de Marzo de 2006,,0,0
PEDRO PABLO ALVAREZ-SALAMAN BUCHI,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Pablo_Álvarez-Salamanca_Büchi,Pedro Pablo,Álvarez Salamanca,Büchi,Profesor de Estado en Biología y Ciencias; Empresario Agrícola,10 de Abril de 1948,Santiago,3 de Septiembre de 2008,,1,0
PIA GUZMAN MENA,RN,diputados,2001,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Mar%C3%ADa_P%C3%ADa_Guzm%C3%A1n_Mena,María Pía,Guzmán,Mena,Abogada,23 de Junio de 1957,Santiago,,,1,0
ROSA GONZALEZ ROMAN,UDI,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rosa_González_Román,Rosa Orfilia,González,Román,Empresaria minera,23 de Julio de 1942,Santiago,21 de Enero de 2019,,1,cinco
IVAN PAREDES FIERRO,IND,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Iván_Paredes_Fierro,Iván,Paredes,Fierro,Administrador de Empresas,4 de Junio de 1958,Puerto Montt,,,1,tres
RAMON PEREZ OPAZO,ILC,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ramón_Segundo_Pérez_Opazo,Ramón Segundo,Pérez,Opazo,Perito Dactiloscópico,3 de Diciembre de 1933,Iquique,12 de Junio de 2005,,1,seis
FULVIO ROSSI CIOCCA,ILE,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca,Fulvio,Rossi,Ciocca,Médico Cirujano,30 de Septiembre de 1970,Iquique,,,1,dos
MANUEL ROJAS MOLINA,UDI,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Manuel_Rojas_Molina,Manuel,Rojas,Molina,Profesor,3 de Noviembre de 1959,,,,1,tres
PEDRO ARAYA GUERRERO,PDC,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pedro_Araya_Guerrero,Pedro,Araya,Guerrero,Abogado,16 de Junio de 1974,Antofagasta,,,0,0
MARIO ESCOBAR URBINA,UDI,diputados,2002,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mario_Escobar_Urbina,Mario,Escobar,Urbina,Magister en Educación,9 de Marzo de 1952,Santiago,,,1,cuatro
