nombreapellidos,partido,eleccion,year,url,nombres,apellido_paterno,apellido_materno,profesion,nacimiento,lugar_nacimiento,fallecimiento,religion,casado_dummy,cantidad_hijos
JOVINO NOVOA VASQUEZ,UDI,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jovino_Novoa_V%C3%A1squez,Enrique Manuel Jovino Novoa Vásquez,Novoa,Vásquez,Abogado,31 de Marzo de 1945,Santiago,1 de Junio de 2021,,1,ocho
MARIANO RUIZ-ESQUIDE JARA,PDC,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Mariano_Ruiz-Esquide_Jara,Sergio Mariano,Ruiz Esquide,Jara,Médico Cirujano,10 de Mayo de 1930,Talcahuano,20 de Enero de 2024,,1,tres
JOSE ANTONIO GOMEZ URRUTIA,PRSD,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/José_Antonio_Gómez_Urrutia,José Antonio,Gómez,Urrutia,Abogado,18 de Diciembre de 1953,,,,1,0
JUAN PABLO LETELIER MOREL,PS,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Juan_Pablo_Letelier_Morel,Juan Pablo,Letelier,Morel,Máster en Economía y Política Internacional,07 de Enero de 1961,Santiago,,,1,tres
CARLOS IGNACIO KUSCHEL SILVA,RN,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Ignacio_Kuschel_Silva,Carlos Ignacio,Kuschel,Silva,Ingeniero Comercial,16 de Marzo de 1953,Frutillar,,,1,0
SOLEDAD ALVEAR VALENZUELA,PDC,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/María_Soledad_Alvear_Valenzuela,María Soledad,Alvear,Valenzuela,Abogada,17 de Septiembre de 1950,Santiago,,Católica,1,tres
FULVIO ROSSI CIOCCA,PS,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Fulvio_Rossi_Ciocca,Fulvio,Rossi,Ciocca,Médico Cirujano,30 de Septiembre de 1970,Iquique,,,1,dos
JAIME ORPIS BOUCHON,UDI,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon,Jaime,Orpis,Bouchon,Abogado,16 de Septiembre de 1956,Santiago,,,1,cuatro
BALDO PROKURICA PROKURICA,RN,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica,Baldo,Prokurica,Prokurica,Abogado,2 de Julio de 1958,Vallenar,,,1,dos
RICARDO LAGOS WEBER,PPD,senadores,2013,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Lagos_Weber,Ricardo,Lagos,Weber,Magíster en Desarrollo Económico,21 de Febrero de 1962,"Durham, Estados Unidos",,,0,0
